week,visits,unique_visitors,total_pages,total_time_hours,political_score,quality_index,ad_total_size_pct
2018-W31,480479,378629,1863361.999987602,136184.5686111111,-5.263157894736842,0.03256970689655172,1.87
2018-W32,433287,333666,1619994.999990315,135368.2619444444,4.411764705882353,0.0710438775510204,179.41
2018-W34,462886,366631,1685404.000099627,115375.3369444444,-2.380952380952381,0.022341655737704923,14.96
2018-W35,509950,408990,2043947.000020395,118336.8461111111,0.0,0.013667272727272728,54.76
2018-W36,533808,405482,2030718.000111409,128644.83,12.5,-0.05663724999999999,82.56
2018-W37,818049,654560,2701724.999912453,172574.6088888889,-4.166666666666667,0.1074185,80.64
2018-W38,603156,495662,2276285.000010768,131795.5280555556,8.0,0.07247313461538461,1.0
2018-W39,475141,396375,1543679.999943707,100632.8358333333,-2.7777777777777777,0.12970116363636364,83.4
2018-W40,605451,444654,2201528.000057099,132399.2086111111,-3.409090909090909,-0.060992553571428576,33.28
2018-W41,527836,391129,2024489.000045861,153515.2263888889,1.6129032258064515,-0.024772722222222224,10.71
2018-W42,601302,453772,2399701.999970717,132692.3919444444,-10.465116279069768,-0.09516977966101695,47.39
2018-W43,675934,486218,2369596.000005615,163758.3486111111,13.75,0.06881588709677419,63.52
2018-W44,631037,456363,2527075.000049978,123664.8086111111,-10.975609756097562,0.027199981818181816,57.8
2018-W45,519935,381486,2377752.000028863,128083.2322222222,-12.499999999999998,0.08742128888888889,122.25999999999999
2018-W46,591630,416652,2702941.000049322,152584.9172222222,-6.25,0.06018155000000001,55.14
2018-W48,645393,496515,2072667.000032637,129041.4183333333,3.0303030303030307,-0.005897732142857147,242.2
2018-W49,621655,453091,2396499.999932643,156608.4744444444,6.097560975609756,0.04422323076923077,25.18
2018-W50,581983,454498,2266197.999929495,140365.7688888889,-4.545454545454544,0.004686803921568629,69.32000000000001
2018-W51,485454,385090,1768819.999961465,117933.5891666667,-7.142857142857142,0.0812992962962963,46.660000000000004
2019-W01,555631,440448,1683923.061562507,108101.4672222222,-3.389830508474576,0.07252724590163934,71.18
2019-W02,638127,499394,2304515.000073565,176696.1080555556,2.7777777777777786,-0.034996508196721315,111.99000000000001
2019-W03,649626,505162,2400445.00013548,270778.1152777778,4.838709677419355,-0.09807270967741935,105.91
2019-W04,638116,520847,3306469.999981383,343245.6833333333,-10.869565217391305,-0.020243691176470596,61.95
2019-W05,591541,447131,2488714.999951762,242783.4161111111,5.714285714285714,-0.04530612,26.08
2019-W06,383038,289604,1485490.00003773,116210.5511111111,-9.375,-0.04174152631578947,17.08
2019-W07,529752,383080,1867931.000033385,194259.4322222222,-2.0,0.05828478000000001,33.61
2019-W08,433496,329496,1415619.999941479,138925.6413888889,-1.1363636363636365,-0.05414994339622642,163.62
2019-W09,441892,336576,1695672.999910811,204168.4308333333,5.555555555555555,0.042896735849056615,58.42999999999999
2019-W10,482550,350336,2059200.000045642,272058.3944444444,-3.947368421052632,0.03128411764705882,188.03
2019-W11,532349,386940,1818467.000046273,221560.6788888889,0.0,0.06012126315789475,106.2
2019-W12,593664,445942,2494113.000038935,314165.7433333333,0.0,-0.09595154237288135,16.8
2019-W13,608306,454751,2232900.000046169,272016.4469444444,-6.0606060606060606,0.03870597777777777,69.89999999999999
2019-W14,540826,410613,1752097.000007507,245649.0466666667,-4.166666666666666,0.08129722,51.56
2019-W15,554789,413720,1654403.000024285,223614.8794444444,-1.4285714285714284,0.11104506666666665,33.15
2019-W16,488330,364500,1792008.000016492,196991.9405555555,-4.761904761904762,-0.027883180327868854,77.17
2019-W17,491468,349056,1480450.000000742,109249.1936111111,-5.0,-0.021395019607843135,205.25
2019-W18,410458,304177,1615580.000007652,99609.3425,8.064516129032258,0.06069096226415095,170.2
2019-W19,484028,337273,1872001.000005737,202209.6261111111,-5.681818181818183,-0.09005604166666668,111.56
2019-W20,508796,361623,1788247.000062564,220334.8483333333,-5.882352941176471,0.030788066666666666,96.65
2019-W21,682714,492086,2168274.999959115,241843.0922222222,2.0,0.052492868852459004,52.89
2019-W23,587508,440248,2080396.999993417,252349.0677777778,-17.241379310344826,-0.07274172093023257,1.99
2019-W25,772134,565113,2740629.999902212,384928.1008333333,-3.4246575342465757,0.020547164179104474,82.09
2019-W26,634226,475163,2981184.999977952,297461.0644444444,5.952380952380952,0.06567275,163.57
2019-W27,873850,605839,2738770.999916015,271588.1580555555,12.280701754385966,-0.16942797916666666,24.0
2019-W28,636292,459239,1504300.000081488,143464.095,-20.0,-0.012792391304347825,37.57
2019-W30,986670,645205,3440207.999944233,459472.7533333334,-2.941176470588235,-0.05247854545454545,97.89
2019-W31,1127295,757626,3229921.000192522,380924.6347222222,8.73015873015873,-0.002621207547169808,13.7
2019-W32,1360540,876549,4187228.000040581,500853.0855555555,10.1010101010101,-0.048283697674418605,38.93
2019-W33,1513207,1016386,3913509.000032747,334820.0416666667,-2.586206896551724,-0.038303399999999994,9.42
2019-W34,928110,636269,2635056.999933169,193164.7341666667,3.608247422680412,-0.1303068085106383,138.36
2019-W36,1693139,993274,5530948.999776295,517689.2547222222,5.844155844155844,-0.17279934042553188,10.05
2019-W37,1129383,724491,4094057.000021259,722410.7716666666,10.135135135135137,-0.16444817999999997,7.84
2019-W38,978779,704900,2562050.000003092,263527.1930555556,11.764705882352942,0.05309668181818183,60.85
2019-W39,855188,550120,2228894.000052779,179757.5722222222,1.851851851851852,0.055774595238095234,61.949999999999996
2019-W40,1392379,858669,4440298.000020151,356585.3008333333,3.5294117647058827,0.04816889743589744,12.9
2019-W41,1328383,850766,3787850.000050714,358356.7122222222,6.034482758620691,0.06243499999999999,29.27
2019-W42,1337067,880672,3735788.999895747,511049.5658333334,9.67741935483871,0.043854075000000006,43.45
2019-W44,979157,666798,2151028.000049144,171837.8605555556,10.625,0.08390786,110.8
2019-W45,1084340,730623,2355465.999772476,194428.3891666667,7.462686567164178,0.06418779166666666,83.6
2019-W47,1671832,1083795,4184514.000158014,445379.6461111111,14.0,0.022458139534883716,35.42
2019-W48,1138505,786330,2612288.000137759,208254.9144444444,0.0,-0.0055091860465116245,54.82
2019-W49,1004199,680122,2392448.999950663,167523.6797222222,-5.208333333333333,0.057819744680851055,99.73
2019-W50,943041,675539,2281756.00003153,195757.4622222222,4.23728813559322,-0.10042476744186048,4.08
2019-W51,691134,484166,2053315.000121408,195129.4505555556,6.944444444444445,-0.11593655319148938,67.39
2019-W52,648976,468942,1627597.000064735,138759.6822222222,17.1875,0.0501849,63.0
2020-W02,821543,592274,2176207.99979341,267481.8563888889,1.2820512820512824,0.007355642857142863,43.69
2020-W03,848034,625583,2195467.99995759,181495.3191666667,0.0,0.06469819607843137,25.74
2020-W04,1096751,752231,3171526.999960692,259568.0530555556,4.761904761904761,0.12792884999999998,44.480000000000004
2020-W05,799401,481641,2521619.999869086,260973.2897222222,6.521739130434782,-0.08027570833333333,30.92
2020-W06,990510,560280,3028884.999896333,358203.4497222222,-3.2258064516129017,-0.016454075757575754,158.52
2020-W07,1103254,615093,3225219.000105675,340545.9469444444,-1.6393442622950825,0.05683408955223881,33.06
2020-W08,921107,592735,2108066.000172421,183662.2269444444,-2.6315789473684204,-0.20628742222222224,94.25
2020-W09,918384,557418,2349402.999906083,215516.7805555556,3.8461538461538463,0.04113805263157894,112.52
2020-W10,911104,632525,2237588.99994328,264994.9083333333,20.0,-0.10748521276595745,6.63
2020-W11,1118250,722879,2893691.99985926,354023.6080555556,14.285714285714286,-0.1262869268292683,32.28
2020-W13,1063836,701375,3433392.000166823,479999.7488888889,17.857142857142854,0.06799180487804879,46.29
2020-W14,932060,643899,2354586.000118182,326945.6472222222,12.5,0.2180200731707317,26.46
2020-W15,1067558,721853,2613205.000049202,354956.3783333334,-5.882352941176471,0.0015979512195121806,42.76
2020-W16,1270044,823417,3187795.999870178,313283.6155555556,-8.333333333333334,0.1136552,50.510000000000005
2020-W17,1200331,762940,3929799.999946697,632593.9686111112,-1.1904761904761905,-0.061284024390243906,24.49
2020-W18,898876,621434,2843559.999934514,441923.1411111111,4.761904761904762,-0.14032207142857142,15.77
2020-W19,850015,657587,2452178.000000945,452292.3725,-6.666666666666668,-0.029781836734693874,149.05
2020-W20,1046428,721231,3555048.000151329,574586.6175,-1.5625,0.0927100243902439,156.70999999999998
2020-W21,979408,721176,3116818.000078055,514136.8644444444,7.142857142857142,0.04925397727272728,106.45
2020-W22,814609,602065,2634765.000034076,424594.6905555556,8.536585365853657,-0.16957425641025642,40.43
2020-W23,959543,688111,2942885.000009948,449428.7122222222,1.4705882352941178,-0.13245934285714286,0.94
2020-W24,1321089,875095,3645212.000013324,468627.0941666667,2.4390243902439024,-0.23474935416666665,101.74
2020-W25,1084017,766584,2891300.999893013,409059.2675,1.1363636363636365,-0.13384877777777776,21.82
2020-W26,898867,664044,2748241.000107861,319029.3880555556,-10.256410256410255,-0.17499596296296296,106.65
2020-W27,894926,611137,2625433.999843583,347654.1180555556,-6.661338147750939e-16,0.031730866666666656,171.17
2020-W28,913568,618380,2890597.00000512,469456.8294444444,5.357142857142858,-0.07249802439024391,164.19
2020-W29,1015560,681702,3118229.99994972,451942.1191666666,-18.75,-0.16922845652173912,38.04
2020-W30,1062405,717232,4087655.999992237,629354.2322222223,-3.571428571428571,0.03298941463414634,59.5
2020-W31,1009477,647637,3635684.999951856,563695.2175,2.7777777777777777,0.005881058823529413,90.92
2020-W32,788261,536158,2302771.999993647,414960.2833333333,10.416666666666666,-0.29419012499999997,28.26
2020-W33,954296,660313,2566320.99979788,405104.2019444444,0.0,-0.00037802000000000777,59.28
2020-W34,774581,538198,2258797.999952463,324249.6897222222,0.0,-0.04786340476190477,56.94
2020-W35,810497,556715,2498390.000031963,358921.6972222222,10.0,0.015411585365853664,27.630000000000003
2020-W36,1095020,707589,3726892.999993376,583009.098611111,12.037037037037038,-0.2083711724137931,45.69
2020-W37,971088,649353,3022211.000011779,452307.1766666667,-2.9411764705882355,-0.244889,221.16
2020-W38,866369,587954,2721691.000133817,510082.2197222222,-8.333333333333334,0.038632738095238095,121.16999999999999
2020-W39,803745,548399,2507912.999990311,443702.6019444445,0.0,-0.17334748717948717,62.730000000000004
2020-W40,1124143,717100,3421488.999704427,385849.0005555556,5.0,-0.017885673469387756,23.85
2020-W42,1143821,759348,3257953.999908482,455868.9816666667,-10.0,0.034550708333333326,0.93
2020-W43,949613,653817,2537590.000017757,374763.8216666667,8.108108108108109,0.16978394285714285,23.24
2020-W44,855030,596117,2167298.000172634,242777.3872222222,6.521739130434783,-0.1021304,10.7
2020-W45,896962,582208,2838517.000080539,421114.125,3.9215686274509807,-0.12468554545454545,19.76
2020-W47,1202377,819795,2786748.999861428,305833.3291666667,10.294117647058824,0.04538790566037735,77.2
2020-W48,869751,589535,2223644.999998143,423319.4191666667,-3.125,-0.10241894339622641,23.2
2020-W49,1042393,728796,2963021.999981326,517941.5025,-7.692307692307692,-0.23515232608695652,132.42000000000002
2020-W50,1056263,691824,3121845.000047048,573975.3480555556,-4.0,0.055236608695652174,4.24
2020-W51,942073,638316,2741505.000049674,508212.9127777778,-8.333333333333332,0.030141743589743586,256.8
2020-W52,683198,488954,1765396.00009871,289491.5425,-9.090909090909092,0.006310051282051276,13.91
2020-W53,822505,576600,2314491.340070406,366687.2580555556,6.25,-0.08698499999999999,147.65
2021-W01,1134375,792210,2959645.000173355,341138.5144444444,0.0,-0.004942395833333328,57.510000000000005
2021-W02,1130360,786628,3183369.000116045,327494.1777777778,-4.545454545454545,0.05948653333333332,88.16
2021-W03,1217440,845240,3548399.999987446,430626.5672222222,0.0,-0.16636176315789475,82.39999999999999
2021-W04,1031547,676534,2826033.00016173,261554.6469444445,6.666666666666666,-0.2463297441860465,62.120000000000005
2021-W05,1053017,724730,2379912.999969555,255581.9788888889,5.555555555555555,-0.062011166666666666,51.339999999999996
2021-W06,1184370,721723,2550845.000166526,331530.665,64.28571428571428,0.02919166666666667,149.72
2021-W07,1008446,702471,2386206.999866841,239452.1322222222,4.3478260869565215,-0.0495705,42.16
2021-W08,1220663,759856,3086474.999929062,263702.9597222222,3.571428571428571,-0.05448042553191489,86.41
2021-W10,1304133,855906,3070720.000125353,384388.3175,-3.7037037037037033,-0.06796566666666666,35.51
2021-W11,1332039,915013,3768835.999999009,428400.8941666667,1.5151515151515151,0.022842128205128206,12.879999999999999
2021-W12,1259682,807424,3331237.999930957,278693.6016666667,3.125,0.17264028571428572,8.55
2021-W13,453325,278138,1213057.999910036,160955.2244444444,0.0,0.008823195652173915,86.02000000000001
2021-W14,576155,314237,2081803.793243222,332890.73,5.263157894736842,0.05715813513513513,84.09
2021-W15,705009,399335,2293697.676123622,513782.9969444444,-13.23529411764706,0.047757116279069776,56.730000000000004
2021-W16,635907,384798,2614628.871949657,627880.9586111112,-1.3513513513513509,-0.02956959016393442,55.57
2021-W17,744056,435075,2313643.999945907,233243.0363888889,0.0,-0.08385198039215686,58.22
2021-W18,903269,462764,2334993.885080681,291192.1661111111,3.75,0.037114195121951216,120.38999999999999
2021-W19,920770,460063,2548067.687340076,449165.335,-2.5,-0.20874158974358975,83.83
2021-W20,606269,320917,2075413.07040603,431705.3836111111,-3.125,-0.11019604255319149,166.82
2021-W21,728613,376741,1708232.283888764,243697.6063888889,9.523809523809524,-0.04285911111111111,84.53999999999999
2021-W22,604531,372366,1505918.222846369,173547.1369444444,-13.461538461538463,-0.12079422727272729,102.72
2021-W23,618047,359864,1371471.997425816,160434.7505555556,-4.054054054054054,0.041315000000000004,111.67999999999999
2021-W24,685541,320265,1597693.723761092,207262.0152777778,2.6315789473684204,0.002961755555555561,103.1
2021-W25,831984,397262,2117190.777800344,261433.5994444444,7.692307692307692,-0.07933209090909091,135.04000000000002
2021-W26,700824,365007,1620658.72432651,195635.1394444444,4.3478260869565215,-0.022002658536585368,128.54
2021-W27,610212,310519,1473677.363716862,199035.2755555556,-11.76470588235294,-0.26146636,8.81
2021-W28,502458,260959,1168756.651636765,143647.2061111111,1.3157894736842113,-0.09030284,17.75
2021-W29,574855,340221,1258186.000100673,271313.2075,5.172413793103448,0.057070551020408165,173.35
2021-W30,632760,342621,1723683.057305342,251404.3302777778,-1.851851851851852,0.10874348837209301,12.72
2021-W31,723238,398034,1996623.999919739,232461.7452777778,18.75,-0.16251326923076923,57.31
2021-W32,655397,383927,1971702.999929168,275569.4719444445,-1.351351351351351,-0.06717698113207547,47.56
2021-W33,496931,310731,1300811.397140153,171933.3841666667,1.351351351351351,-0.11705672,11.44
2021-W34,482726,280109,1358884.999935111,146093.4816666667,2.0,-0.14648138461538462,57.82
2021-W35,610193,315405,1681768.812285642,236482.2766666667,10.0,0.026776673469387755,84.37
